國文,英文,數學,社會,自然
14,10,6,14,15
12,7,14,14,14
6,9,9,11,8
9,15,14,15,15
7,7,13,6,13
12,10,14,9,15
10,6,14,14,15
14,8,14,10,11
9,8,11,14,12
13,8,7,14,12
15,10,12,12,11
12,9,11,15,13
12,11,7,9,13
11,11,12,11,9
8,13,7,9,15
13,10,13,10,6
15,13,6,15,6
14,9,10,9,15
6,13,11,8,6
15,11,11,12,9
12,14,15,10,11
12,8,9,15,11
8,15,15,9,9
14,6,13,12,15
12,10,8,14,12
15,12,7,6,7
8,14,15,6,9
14,10,13,15,11
15,12,9,13,6
6,13,12,14,14
15,13,6,12,13
12,15,12,7,14
13,8,7,15,12
6,14,10,7,13
15,15,9,10,12
10,13,12,7,15
12,14,7,9,13
15,14,13,9,8
9,11,7,15,14
14,11,6,10,6
7,14,14,13,9
7,12,10,9,13
9,10,15,7,15
6,6,12,7,15
10,10,7,12,11
11,15,8,6,8
9,12,11,15,9
6,8,6,9,14
12,14,15,9,15
10,8,15,13,11
13,12,7,6,14
6,14,15,6,7
8,7,9,7,6
7,15,13,11,6
7,11,11,8,11
10,8,13,9,12
10,8,7,7,11
12,14,9,14,15
9,14,10,12,13
15,14,9,11,12
11,14,9,7,11
7,9,10,9,8
12,15,7,13,10
8,15,8,6,9
12,14,8,10,13
12,7,12,6,7
8,11,10,11,11
9,12,11,9,10
9,12,15,14,12
15,14,15,7,10
9,13,15,10,10
14,8,13,6,6
13,10,13,8,7
9,13,14,6,7
6,6,15,13,8
6,7,9,13,15
9,8,9,14,14
8,7,10,12,14
7,7,12,13,11
15,7,6,14,6
13,8,14,15,11
11,11,6,7,10
8,9,15,15,14
15,11,7,13,7
11,15,11,6,8
15,15,7,8,7
15,13,9,7,8
10,15,6,9,10
13,9,7,8,13
7,10,9,10,15
8,13,11,14,7
10,6,13,6,9
11,7,10,15,13
6,6,15,13,8
9,12,7,15,8
14,7,7,13,6
15,11,8,9,11
11,9,10,6,13
7,14,10,14,14
8,6,10,14,14
